Time            IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
08:05:33         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:05:34         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:05:35         eth0    139.00    133.00    607.62      8.61      0.00      0.00      0.00      0.05
08:05:36         eth0    416.00    301.00   1961.25     19.40      0.00      0.00      0.00      0.16
08:05:37         eth0    313.00    218.00   1381.49     14.05      0.00      0.00      0.00      0.11
08:05:38         eth0    465.00    335.00   2151.44     21.59      0.00      0.00      0.00      0.18
08:05:39         eth0    143.00    109.00    547.60      7.03      0.00      0.00      0.00      0.04
08:05:40         eth0    298.00    185.00   1184.14     12.45      0.00      0.00      0.00      0.10
08:05:41         eth0    162.00    158.00    448.63     10.18      0.00      0.00      0.00      0.04
08:05:42         eth0    148.00    131.00    419.67      9.36      0.00      0.00      0.00      0.03
08:05:43         eth0    214.00    152.00    928.91      9.86      0.00      0.00      0.00      0.08
08:05:44         eth0    215.00    138.00    763.32      8.89      0.00      0.00      0.00      0.06
08:05:45         eth0    202.00    141.00    767.82      9.09      0.00      0.00      0.00      0.06
08:05:46         eth0    603.00    444.00   3014.00     28.62      0.00      0.00      0.00      0.25
08:05:47         eth0    199.00    125.00    571.25      8.06      0.00      0.00      0.00      0.05
08:05:48         eth0    264.00    184.00   1093.78     11.86      0.00      0.00      0.00      0.09
08:05:49         eth0    422.00    309.00   2097.88     19.89      0.00      0.00      0.00      0.17
08:05:50         eth0    295.00    200.00   1261.44     12.89      0.00      0.00      0.00      0.10
08:05:51         eth0    214.00    148.00    792.64      9.54      0.00      0.00      0.00      0.06
08:05:52         eth0    235.00    169.00   1204.13     10.89      0.00      0.00      0.00      0.10
08:05:53         eth0    204.00    131.00    730.55      8.44      0.00      0.00      0.00      0.06
08:05:54         eth0    291.00    194.00   1162.32     12.50      0.00      0.00      0.00      0.10
08:05:55         eth0    237.00    140.00    878.29      9.67      0.00      0.00      0.00      0.07
08:05:56         eth0    195.00    138.00    917.00      8.89      0.00      0.00      0.00      0.08
08:05:57         eth0    220.00    140.00    830.44      9.02      0.00      0.00      0.00      0.07
08:05:58         eth0     41.00     35.00     72.11      2.60      0.00      0.00      0.00      0.01
08:05:59         eth0    110.00     54.00    381.15      4.27      0.00      0.00      0.00      0.03
08:06:00         eth0    137.00     84.00    398.92      5.41      0.00      0.00      0.00      0.03
08:06:01         eth0    275.00    160.00    875.40     10.97      0.00      0.00      0.00      0.07
08:06:02         eth0    278.00    185.00   1063.96     11.92      0.00      0.00      0.00      0.09
08:06:03         eth0    265.00    161.00    962.92     10.38      0.00      0.00      0.00      0.08
08:06:04         eth0    189.00    125.00    737.60      8.06      0.00      0.00      0.00      0.06
08:06:05         eth0    254.00    169.00    970.23     10.89      0.00      0.00      0.00      0.08
08:06:06         eth0    518.00    371.00   2430.06     23.91      0.00      0.00      0.00      0.20
08:06:07         eth0    424.00    319.00   2041.92     20.56      0.00      0.00      0.00      0.17
08:06:08         eth0    462.00    329.00   2195.33     21.21      0.00      0.00      0.00      0.18
08:06:09         eth0    336.00    224.00   1270.76     14.44      0.00      0.00      0.00      0.10
08:06:10         eth0    272.28    183.17   1119.37     11.81      0.00      0.00      0.00      0.09
08:06:11         eth0    301.00    199.00   1058.76     12.83      0.00      0.00      0.00      0.09
08:06:12         eth0    443.00    305.00   2129.96     19.63      0.00      0.00      0.00      0.17
08:06:13         eth0    252.00    169.00    867.23     10.89      0.00      0.00      0.00      0.07
08:06:14         eth0    349.00    235.00   1481.34     15.15      0.00      0.00      0.00      0.12
08:06:15         eth0    119.00     78.00    441.83      5.91      0.00      0.00      0.00      0.04
08:06:16         eth0    243.00     95.00    993.57      7.20      0.00      0.00      0.00      0.08
08:06:17         eth0    299.00    204.00   1198.90     13.15      0.00      0.00      0.00      0.10
08:06:18         eth0    211.00    117.00    634.81      8.34      0.00      0.00      0.00      0.05
08:06:19         eth0    356.00    251.00   1428.35     16.34      0.00      0.00      0.00      0.12
08:06:20         eth0    289.00    200.00   1211.62     12.89      0.00      0.00      0.00      0.10
08:06:21         eth0     98.00     64.00    320.48      4.12      0.00      0.00      0.00      0.03
08:06:22         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:06:23         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:06:24         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:06:25         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:06:26         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:06:27         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
